상호명,사업자번호,소재지,일반창고면적(m²),냉동냉장창고면적(m²),관련법률,취급품목,위도,경도
C,1168131734,경기도 여주시 가남읍 경충대로 982,3721.49,0,물류시설법,"가전제품, 가전제품 부자재",37.20044595,127.5454016
C,1168131734,"인천광역시 서구 북항로178번길 46, 6층 (원창동)",2727,0,물류시설법,쇼핑몰 제품,37.51285125,126.6318789
C,1168131734,경기도 이천시 부발읍 중부대로1997번길 46,20243,0,물류시설법,"생활용품, 잡화 등",37.29501,127.52758
C,1168131734,제주특별자치도 제주시 조천읍 함선로 166,3539.38,0,물류시설법,가전제품,33.51094072,126.6854721
C,1168131734,"경상북도 구미시 산호대로 264-16, 3층 (공단동)",1233,0,물류시설법,전자 자재/부품,36.13716038,128.4125218
C,1168131734,광주광역시 광산구 진곡산단중앙로 204 (진곡동),4510.38,0,물류시설법,LG전자,35.20721885,126.7831923
C,1168131734,"인천광역시 서구 정서진로 47, 프린피아 물류센터 4층 (오류동)",1636.4,0,물류시설법,화장품,37.57058562,126.6743708
C,1168131734,"인천광역시 서구 원석로 196, 7층 (원창동)",3545.74,0,물류시설법,쇼핑몰 판매물품 등,37.50673275,126.641682
C,1168131734,충청남도 천안시 서북구 성거읍 새터길 5,35144.92,0,물류시설법,생활소비재,36.89907,127.21357
C,1168131734,경기도 이천시 부발읍 중부대로1763번길 80-7,11482,0,물류시설법,가전제품,37.29156157,127.5000205
C,1168131734,경기도 이천시 진상미로 1894 (대포동),18316.14,0,물류시설법,타이어,37.1400386,127.5016853
C,1168131734,"경기도 여주시 가남읍 은봉길 5, 3층, 2(일부)층, 1(일부)층, 지하1(일부)층, 지하2층",29851,0,물류시설법,"팬시, 애완용품 등",37.19167,127.55771
C,1168131734,경기도 이천시 호법면 중부대로 743,13861,0,물류시설법,가전제품,37.24841,127.41631
C,1168131734,충청북도 음성군 삼성면 천평길 68,15792.72,0,물류시설법,"가전제품, 가전제품 부자재",36.98176,127.51693
C,1168131734,경기도 용인시 처인구 원삼면 맹리로2번길 1,9656,0,물류시설법,"오토바이 완성차, 오토바이 부품 및 악세사리, 의류, 헬멧, 장난감 완구류",37.19333,127.32688
C,1168131734,"경기도 평택시 진위면 마산8로 10, 이마트에브리데이 평택센터",6600,0,물류시설법,"가공식품, 생수, 생필품 등(슈퍼마켓 납품용)",37.08714,127.10072
C,1168131734,"인천광역시 중구 영종순환로900번길 30, 5층 (운북동)",6103.5,0,물류시설법,"명품 의류, 가방, 시계, 가구 등",37.50973087,126.4976742
C,1168131734,"경기도 이천시 호법면 이섭대천로 626, 지하2층",3636,0,물류시설법,"생활용품,패션잡화 등",37.22954,127.4339
