상호명,사업자번호,소재지,일반창고면적(m²),냉동냉장창고면적(m²),창고면적(종합),관련법률,취급품목,위도,경도
A,1068197118,경기도 용인시 처인구 원삼면 원양로 487,12036,0,12036,물류시설법,"가구, 소파, 테이블, 일반공산품 등",37.17406005,127.3087907
A,1068197118,"전북특별자치도 완주군 봉동읍 테크노밸리3로 65, 전주현대글로비스",26558.2,0,26558.2,물류시설법,자동차 부품,35.97456775,127.1193703
A,1068197118,충청북도 음성군 삼성면 대성로 355,35398.81,0,35398.81,물류시설법,"음료(페트병, 유리병), 부자재(박스, 공캔 등), 가구, 배터리셀 모듈 등",37.0044509,127.4980243
A,1068197118,광주광역시 광산구 평동산단외로 56 (용동),5950.06,0,5950.06,물류시설법,"제과, 아이스크림, 냉동만두, 매일유업 원부자재",35.1307005,126.7518464
A,1068197118,"대전광역시 대덕구 대전로1331번길 205, 롯데택배 5층 (대화동)",1322.32,0,1322.32,물류시설법,제과류,36.36710653,127.400822
A,1068197118,경기도 용인시 처인구 백암면 죽양대로 1182,0,6823,6823,물류시설법,"냉동식품, 음료수, 초코류",37.16185826,127.3818686
A,1068197118,충청남도 천안시 동남구 병천면 충절로 1529-5,1320,0,1320,물류시설법,애완동물사료,36.76747314,127.3233733
A,1068197118,"경기도 김포시 고촌읍 아라육로152번길 115, 케이로지스필드 1층",632.02,2892.81,3524.83,물류시설법,생활용품 및 식품류,37.59900675,126.7841061
A,1068197118,"경상남도 양산시 물금읍 제방로 245, 양산ICD5단지(제44동, 제62동)",5231.29,0,5231.29,물류시설법,"아이스크림, 냉동만두, 해태크라운제과",35.31362026,129.0178197
A,1068197118,경상북도 경산시 와촌면 상암길37길 75-9,5190.1,0,5190.1,물류시설법,제과류,35.946651,128.850721
A,1068197118,충청북도 청주시 상당구 가덕면 상장인차로 188,14241.93,0,14241.93,물류시설법,인테리어 내장재 및 부자재,36.52892982,127.5194363
A,1068197118,충청북도 청주시 서원구 남이면 저산척북로 203-44,6600,0,6600,물류시설법,"샤시, 기타부자재",36.56651072,127.4112778
A,1068197118,충청남도 당진시 송산면 가곡로 21 (현대글로비스),16490.55,0,16490.55,물류시설법,"철강제품(냉연,열연)",36.9777354,126.6878399
B,1108105034,경기도 이천시 대월면 양녕로 78,0,12945.57,12945.57,물류시설법,식자재(완제품),37.1782434,127.5006521
B,1108105034,"부산광역시 강서구 미음국제2로 69, A동 (미음동)",2578.5,0,2578.5,물류시설법,"생수, 탄산음료, 복사지",35.1475741,128.869692
B,1108105034,경상북도 상주시 낙동면 영남제일로 186,1874,0,1874,물류시설법,"카길애프리퓨리나 사료 일체(BIN, 톤백, 지대외)",36.3885841,128.2610529
B,1108105034,"대전광역시 동구 하소로 53, 대전킴벌리하소동창고 1동 (하소동)",2314.2,0,2314.2,물류시설법,"생수, 탄산음료, 복사지",36.2201937,127.43891
B,1108105034,경상북도 경산시 진량읍 공단11로 215,37878.58,0,37878.58,물류시설법,화장품,35.8642763,128.8397749
B,1108105034,경기도 여주시 신륵로 117 (천송동),7286.74,0,7286.74,물류시설법,생수,37.3032339,127.663223
B,1108105034,충청북도 옥천군 동이면 금강로 65,2528.93,0,2528.93,물류시설법,"생수, 탄산음료, 복사지",36.2929778,127.6202489
B,1108105034,"인천광역시 중구 서해대로 143, 3층 (항동7가)",8621.23,0,8621.23,물류시설법,물품,37.4505909,126.6248128
B,1108105034,경기도 양주시 부흥로 1818-11 (광사동),1738.5,0,1738.5,물류시설법,1,37.7872694,127.0720075
B,1108105034,"대구광역시 달성군 하빈면 달구벌대로8길 46, Logis All",1708.5,0,1708.5,물류시설법,"생수, 탄산음료, 복사지",35.8752912,128.4000654
B,1108105034,경상남도 김해시 상동면 상동로 680-70,11270.66,0,11270.66,물류시설법,배터리셀,35.310506,128.943127
B,6048502224,부산광역시 동구 중앙대로248번길 7-6 (초량동),1411.8,0,1411.8,물류시설법,택배물품(잡화),35.1189268,129.0433888
B,1108105034,부산광역시 사하구 하신번영로 28 (신평동),2927.55,0,2927.55,물류시설법,택배물품(잡화),35.085074,128.9610348
B,1108105034,부산광역시 강서구 미음국제2로 69 (미음동),3939.94,0,3939.94,물류시설법,"너트/볼트관련 체결류, 방산산업관련 원자재품 등",35.1475741,128.869692
B,1108105034,부산광역시 사하구 을숙도대로 520 (신평동),5124,0,5124,물류시설법,생활제품,35.0839604,128.9606929
B,1108105034,"인천광역시 중구 서해대로 143, 4층 (항동7가)",7313.24,0,7313.24,물류시설법,택배상품 등,37.4505909,126.6248128
B,1108105034,광주광역시 남구 송암로 114 (송하동),3155.8,330.58,3486.38,물류시설법,택배화물,35.1143892,126.872701
B,1108105034,"경기도 광주시 초월읍 산수로622번길 44, 가동",2837.99,0,2837.99,물류시설법,택배화물,37.4139947,127.3083725
B,1108105034,대전광역시 대덕구 대덕대로1447번길 39 (문평동),26640,0,26640,물류시설법,택배물품,36.449416,127.4070349
B,3058531064,대전광역시 대덕구 신탄진로 1 (읍내동),9860,0,9860,물류시설법,택배물륨,36.3862082,127.4293631
B,1108105034,세종특별자치시 전의면 산단길 22-50,3767,0,3767,물류시설법,식품(과자),36.6968522,127.2116673
B,1108105034,경상북도 포항시 남구 대송로 208-43 (괴동동),8473,0,8473,물류시설법, ,35.9943317,129.3751032
B,1108105034,"경상북도 포항시 남구 대송로 200, 대한통운 (괴동동)",5712.48,0,5712.48,물류시설법,철강제품,35.9965116,129.3745936
B,1108105034,제주특별자치도 제주시 일주서로 7263 (외도이동),4154.28,0,4154.28,물류시설법,"공산품(주류, 식품류, 생활제품 등)",33.4919654,126.4228634
B,1108105034,광주광역시 북구 삼소로 266 (월출동),13693.56,0,13693.56,물류시설법,택배소하물,35.2476563,126.8739615
B,1108105034,"울산광역시 남구 장생포고래로 292, 대한통운(주) (매암동)",3597,0,3597,물류시설법,일반잡화,35.5064388,129.3854182
B,1108105034,울산광역시 북구 효자로 112 (효문동),3487.5,0,3487.5,물류시설법,택배물품,35.571133,129.3684825
B,1108105034,"울산광역시 남구 신여천로35번길 34, 대한통운(주) (여천동)",2436,0,2436,물류시설법,일반잡화,35.5158165,129.3472443
B,1108105034,울산광역시 북구 진장유통1로 59 (진장동),1698,0,1698,물류시설법,일반택배물품,35.5773994,129.3540099
B,1108105034,"인천광역시 중구 서해대로 143, 5층 (항동7가)",7116.99,0,7116.99,물류시설법,CJ공산품 외 3PL 공산품,37.4505909,126.6248128
B,1108105034,"인천광역시 서구 거북로 13, 인천 석남동 에스앤케이 복합물류센터 5층 (석남동)",4152,0,4152,물류시설법,기계부품(전동기),37.5037423,126.668249
B,1108105034,"경기도 군포시 번영로 82-1, 한국복합물류(주) A동 A동 2층 (부곡동)",2128.93,0,2128.93,물류시설법,전기전자,37.3309195,126.9371945
B,108105034,"인천광역시 서구 원석로 196, 6층 (원창동)",14183,0,14183,물류시설법,택배화물,37.5056481,126.6399035
B,1108105034,경기도 이천시 백사면 청백리로 287,21232.6,0,21232.6,물류시설법,신발 악세서리 등,37.3215632,127.4964683
