상호명,사업자번호,소재지,일반창고면적(m²),냉동냉장창고면적(m²),관련법률,취급품목,위도,경도
D,1028123012,부산광역시 남구 우암로 285(문현동),7256,0,물류시설법,택배소화물,35.12484689,129.0743079
D,1028123012,부산광역시 기장군 장안읍 반룡산단로 110,5883.55,0,물류시설법,택배박스,35.33123853,129.2503951
D,1028123012,"경상북도 경산시 진량읍 공단11로 215, 경산복합물류센터 5층",28143.6,0,물류시설법,"식음료, 생활용품, 잡화 등",35.86694595,128.84064
D,1028123012,"경기도 시흥시 수인로 2127-11, (주)한샘 (조남동)",8904.05,0,물류시설법,택배물품,37.37735165,126.8712912
D,1028123012,부산광역시 강서구 미음국제2로 58 (미음동),4696,4045,물류시설법,"건과제품, 빙과제품",35.14829091,128.8702754
D,1028123012,광주광역시 광산구 용아로 807 (안청동),1749,2165,물류시설법,식품,35.16506354,126.8017562
D,1028123012,광주광역시 광산구 진곡산단중앙로 97 (오선동),10290.96,0,물류시설법,공산품 및 잡화,35.19771705,126.7862755
D,1028123012,광주광역시 광산구 소촌로123번길 24 (소촌동),3363.77,0,물류시설법,택배소하물,35.15437229,126.7882054
D,1028123012,광주광역시 광산구 하남산단5번로 46 (장덕동),2972,1653,물류시설법,"농수산 및 축산품, 일상용품",35.1974973,126.7965799
D,1028123012,광주광역시 북구 양일로 111 (양산동),4703,508,물류시설법,"담배, 박스, 잡화",35.19948338,126.8825576
D,1028123012,광주광역시 광산구 진곡산단1번로 42 (오선동),1857,968,물류시설법,식품 및 포재 등,35.19519686,126.7886524
D,1028123012,"대전광역시 대덕구 문평동로18번길 21, 롯데제과(주) (문평동)",8863,1620,물류시설법,"견과류, 빙과류",36.4478684,127.403787
D,1028123012,대전광역시 대덕구 대전로1331번길 205 (대화동),18271,0,물류시설법,"택배소화물, 과자류",36.36710653,127.400822
D,1028123012,제주특별자치도 제주시 조천읍 와흘로 241,2212.18,0,물류시설법,공산품,33.487032,126.6379809
D,1028123012,"인천광역시 중구 서해대로210번길 6, CBRE IM ILC 물류센터 7층 (신흥동3가)",16201.17,0,물류시설법,전자제품,37.44505753,126.6273333
D,1028123012,"인천광역시 서구 갑문로 33, 은산컨테이너터미널(주) (오류동)",11986.82,0,물류시설법,"담배,음료,과자 등",37.56581723,126.6041478
D,1028123012,충청남도 아산시 염치읍 아산로 624,0,4403,물류시설법,아이스크림,36.8314344,126.9690593
D,1028123012,"경기도 오산시 동부대로 446, 오산 풍농물류센터 3층 (원동)",12225.87,0,물류시설법,건과(롯데웰푸드),37.1588582,127.0831324
D,1028123012,경기도 이천시 호법면 중부대로866번길 55,4231,0,물류시설법,"과자, 음료, 담배",37.24027615,127.4290815
D,1028123012,세종특별자치시 부강면 부강외천로 246-17,4703,0,물류시설법,"과자, 음료, 담배외",36.52790387,127.372074
D,1028123012,"경상남도 양산시 산막공단북3길 9, 롯데쇼핑물류센타(주) (산막동)",1983,1983,물류시설법,제지류,35.37002201,129.0552321
D,1028123012,충청남도 천안시 동남구 성남면 대흥1길 122,4847.47,0,물류시설법,"식품,잡화류",36.73175441,127.2332933
D,1028123012,경기도 평택시 진위면 마산6로 48,9388.43,0,물류시설법,산업차량 부품,37.08921284,127.0989303
D,1028123012,경기도 이천시 부발읍 중부대로2000번길 33,14319.32,0,물류시설법,수입 와인,37.29077849,127.5338421
D,1028123012,경기도 이천시 호법면 안평로114번길 134,7603,0,물류시설법,"가방, 지갑, 잡화, 여행용품 등",37.23548938,127.4234883
D,1028123012,"경기도 이천시 부발읍 부흥로 135, 로지스밸리 물류센터 1층",26889,0,물류시설법,"의류, 패션잡화, 화장품 등",37.30468546,127.5326245
D,1028123012,전북특별자치도 김제시 금산면 금평로 313,7263.3,0,물류시설법,"식품, 잡화",35.72768047,126.9920731
D,1028123012,경기도 이천시 부발읍 중부대로2000번길 33,0,6633,물류시설법,빙과류,37.29077849,127.5338421
D,1028123012,경기도 이천시 대월면 양녕로 92,9865,4011,물류시설법,식품 등,37.1773429,127.5012909
