상호명,사업자번호,소재지,일반창고면적(m²),냉동냉장창고면적(m²),관련법률,취급품목,위도,경도
E,2018102823,충청북도 청주시 서원구 남이면 청남로 845,0,1537.19,물류시설법,신선식품,36.5289654,127.4292044
E,2018102823,인천광역시 서구 북항단지로 110 (원창동),0,1867.77,물류시설법,신선식품,37.5017131,126.6196592
E,2018102823,"경기도 군포시 번영로 82, 한국복합물류(주) 관리동 H동 1,2,3,4,5층 (부곡동)",18644.72,0,물류시설법,택배 화물,37.3309195,126.9371945
E,2028102823,전북특별자치도 군산시 공항로 587 (개사동),1382.92,0,물류시설법,택배집화/배송상품,35.9593605,126.6616173
E,2018102823,충청남도 서산시 남부순환로 161 (장동),1393.74,0,물류시설법,택배상품,36.7350302,126.487375
E,2018102823,경상남도 진주시 정촌면 뿌리산단로 102,5187.19,0,물류시설법,택배물품,35.1138693,128.105683
E,2018102823,전라남도 나주시 금영로 459(평산동),2560,0,물류시설법,택배화물,34.9960015,126.7551006
E,2018102823,경기도 이천시 대월면 대월로 256,15828,0,물류시설법,"주방용품,애견용품,의류 등",37.1836507,127.4931826
E,2018102823,부산광역시 사상구 낙동대로882번길 17 (감전동),2926,0,물류시설법,의류 등(택배물품),35.1398396,128.971726
E,2018102823,"부산광역시 남구 북항로 132, (주)한진감만동택배터미널 (감만동)",16461.73,0,물류시설법,생활잡화,35.1094576,129.0794875
E,2018102823,광주광역시 광산구 손재로 366-55 (오선동),2857,0,물류시설법,택배소하물,35.1993977,126.8011065
E,2018102823,울산광역시 남구 사평로 227-50 (선암동),2002.61,0,물류시설법,소화물 등,35.5088777,129.3324257
E,2018102823,"대전광역시 유성구 대정로 68, (주)한진대전택배터미널 301호(대정동)",18660,0,물류시설법,휴대폰 및 주변기기,36.3176625,127.3213713
E,2018102823,대전광역시 대덕구 대화로106번길 111 (대화동),3266,0,물류시설법,"택배물품, 창호제품, 고무제품",36.3711833,127.4050933
E,2018102823,제주특별자치도 제주시 임항로 201 (건입동),3418.54,0,물류시설법,잡화 및 B/G(수지) 등,33.5235192,126.5501442
E,2018102823,"인천광역시 중구 자유무역로 232, 한진 지디씨물류센터 (운서동)",12102.96,0,물류시설법,택배상품 외 전품목(식품제외),37.4877799,126.4725366
E,2018102823,경기도 이천시 부발읍 황무로 1780,1587,0,물류시설법,택배상품,37.2645279,127.5181214
E,2018102823,"세종특별자치시 부강면 연청로 745-46, 3동 화물취급장A(나동), 1동 화물취급장B(라동)",3808,0,물류시설법,택배상품,36.5424903,127.3584883
E,2018102823,"서울특별시 송파구 송파대로 55, B동 2층 (장지동,서울복합물류)",43072,2251,물류시설법,택배화물,37.4746178,127.1260071
E,2018102823,"경상북도 포항시 남구 대송로253번길 71, (주)한진포항자동차중기정비공장 (송내동)",11418,0,물류시설법,화물,36.0048625,129.3706607
E,2018102823,서울특별시 강서구 오정로 602 (외발산동),1433.77,0,물류시설법,택배화물,37.5477372,126.8151868
E,1198505359,서울특별시 금천구 가산디지털2로 83 (가산동),12584.99,0,물류시설법,택배화물,37.4750222,126.880646
E,2018102823,서울특별시 구로구 경인로 110 (오류동),9695,0,물류시설법,택배화물,37.4912122,126.8289475
E,2018102823,대구광역시 달성군 가창면 용계리 452번지,5144.39,0,물류시설법,절삭기 공구류,35.7947743,128.6284203
E,2018102823,전라남도 여수시 대평길 22(해산동),1273.65,0,물류시설법,택배물품,34.7917661,127.6456695
E,2018102823,전라남도 순천시 해룡면 여순로 1371-9,1208.2,0,물류시설법,택배상품,34.9054208,127.5463294
E,2018102823,충청북도 청주시 청원구 2순환로 426 (사천동),2479,0,물류시설법,잡화,36.67517,127.4663537
E,2018102823,경기도 구리시 동구릉로460번길 29 (사노동),1796.12,0,물류시설법,"택배상품(개인,기업판매상품)",37.6385119,127.1412035
E,2018102823,"경상남도 양산시 물금읍 제방로 205, (양산ICD내 6단지)",4616,0,물류시설법,택배물품 및 분류,35.3011111,129.0127307
E,2018102823,경기도 고양시 덕양구 대주로 499 (주교동),1524,0,물류시설법,택배소화물,37.6582525,126.8255728
E,2018502823,인천광역시 부평구 부평북로 295 (갈산동),1420,0,물류시설법,물류 등 배송,37.5231898,126.7261397
E,2018102823,전북특별자치도 전주시 덕진구 정암길 23 (장동),1444.87,0,물류시설법,택배품목,35.8617223,127.0593976
E,2018102823,인천광역시 중구 인항로 39 (신흥동3가),4136.8,0,물류시설법,"소형가전, 세제",37.4582933,126.6351799
E,2018102823,경기도 용인시 처인구 백암면 백암로 17,19004.4,0,물류시설법,의류상품 박스,37.150627,127.3859081
E,2018102823,경기도 양주시 은현면 화합로 1187,1460,0,물류시설법,택배 취급품목 등,37.8495804,127.0471467
E,2018102823,경기도 안산시 단원구 번영1로 35 (성곡동),1074.1,0,물류시설법,택배소화물,37.3211995,126.7355285
E,2018102823,경기도 평택시 산단로64번길 82 (모곡동),3044,0,물류시설법,화물운송,37.0310489,127.0739175
E,2018102823,대구광역시 달서구 호산동로 94 (호산동),3450.48,0,물류시설법,택배물품,35.8435018,128.4865574
E,2018102823,경상남도 창원시 성산구 창원대로 480 (대원동),1239.83,0,물류시설법,택배,35.224825,128.644663
E,2018102823,강원특별자치도 춘천시 신북읍 영서로 3287,2070.11,0,물류시설법,택배상품외 전 품목,37.9573265,127.6927847
