상호명,사업자번호,소재지,일반창고면적(m²),냉동냉장창고면적(m²),관련법률,취급품목,위도,경도
A,1068197118,경기도 용인시 처인구 원삼면 원양로 487,12036,0,물류시설법,"가구, 소파, 테이블, 일반공산품 등",37.17406005,127.3087907
A,1068197118,"전북특별자치도 완주군 봉동읍 테크노밸리3로 65, 전주현대글로비스",26558.2,0,물류시설법,자동차 부품,35.97456775,127.1193703
A,1068197118,충청북도 음성군 삼성면 대성로 355,35398.81,0,물류시설법,"음료(페트병, 유리병), 부자재(박스, 공캔 등), 가구, 배터리셀 모듈 등",37.0044509,127.4980243
A,1068197118,광주광역시 광산구 평동산단외로 56 (용동),5950.06,0,물류시설법,"제과, 아이스크림, 냉동만두, 매일유업 원부자재",35.1307005,126.7518464
A,1068197118,"대전광역시 대덕구 대전로1331번길 205, 롯데택배 5층 (대화동)",1322.32,0,물류시설법,제과류,36.36710653,127.400822
A,1068197118,경기도 용인시 처인구 백암면 죽양대로 1182,0,6823,물류시설법,"냉동식품, 음료수, 초코류",37.16185826,127.3818686
A,1068197118,충청남도 천안시 동남구 병천면 충절로 1529-5,1320,0,물류시설법,애완동물사료,36.76747314,127.3233733
A,1068197118,"경기도 김포시 고촌읍 아라육로152번길 115, 케이로지스필드 1층",632.02,2892.81,물류시설법,생활용품 및 식품류,37.59900675,126.7841061
A,1068197118,"경상남도 양산시 물금읍 제방로 245, 양산ICD5단지(제44동, 제62동)",5231.29,0,물류시설법,"아이스크림, 냉동만두, 해태크라운제과",35.31362026,129.0178197
A,1068197118,경상북도 경산시 와촌면 상암길37길 75-9,5190.1,0,물류시설법,제과류,35.946651,128.850721
A,1068197118,충청북도 청주시 상당구 가덕면 상장인차로 188,14241.93,0,물류시설법,인테리어 내장재 및 부자재,36.52892982,127.5194363
A,1068197118,충청북도 청주시 서원구 남이면 저산척북로 203-44,6600,0,물류시설법,"샤시, 기타부자재",36.56651072,127.4112778
A,1068197118,충청남도 당진시 송산면 가곡로 21 (현대글로비스),16490.55,0,물류시설법,"철강제품(냉연,열연)",36.9777354,126.6878399
