출발지/목적지,,,,,,기간: (2014~2014),,,,,,,,단위(톤/년),,,,
,서울,부산,대구,인천,광주,세종,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,total
서울,"37,194,848","1,454,594","527,970","5,055,284","566,475","94,776","460,943","1,437,466","19,941,966","1,239,229","1,011,269","2,576,580","1,040,716","2,904,840","1,585,791","1,633,029",0,"78,725,776"
부산,"1,846,070","38,554,617","1,657,345","2,371,181","647,616","455,604","660,014","9,253,072","14,646,129","635,260","2,844,662","2,644,094","1,230,462","1,368,381",7983124,20238653,0,"107,036,284"
대구,3245419,2677766,11556594,906600,228362,52589,341287,865642,4130399,445156,694247,1244583,579804,670230,6142254,2481385,0,"36,262,317"
인천,11205397,3960875,1077399,64344497,789750,239874,1392550,1536465,47775567,8201489,10837984,5142624,2349327,7990824,4160320,4219315,0,"175,224,257"
광주,821730,1609032,135282,631947,4889718,30806,176738,238233,2494031,291391,422412,814192,910187,8212178,519228,797059,0,"22,994,164"
대전,165225,1126880,65505,192821,75704,29811,2984002,71553,553679,62343,279091,421581,240906,242969,282645,233768,0,"7,028,483"
울산,1092604,12770228,1490382,982571,244474,101690,346716,81345949,3562706,2203130,2660559,1666058,621144,2975499,6379545,5619338,0,"124,062,593"
경기,34836314,18035679,4819079,30438488,2712674,794561,6721708,5621084,98883688,9461507,18436894,25349499,10389214,14786502,12109560,12498901,0,"305,895,352"
강원,3325888,908040,202859,895926,219543,154878,378484,348553,7411667,28270807,6110366,1582724,726308,3081957,2914122,1140215,0,"57,672,337"
충북,5728373,2296845,532110,2417446,392809,444520,1778739,662734,14481432,5738509,13765901,6035065,1468967,3545120,3586750,1872610,0,"64,747,930"
충남,6600257,4157931,719041,5749587,1042245,557101,1973909,1489596,24643911,7365816,10823790,67709070,3519817,10127504,5932201,4168839,0,"156,580,615"
전북,2491427,2275505,575316,1520307,982908,168537,1635622,738655,5772385,4768390,6389918,4610807,19699399,8863883,2780136,2825717,0,"66,098,912"
전남,4682568,3315088,919019,2384854,5895238,863437,1139422,2146579,11532408,3476200,4963880,5268905,6315241,102716256,4747321,8517510,0,"168,883,926"
경북,5340546,14498694,4250631,4051206,1029507,280506,1564708,11884648,12717966,7816758,10078075,5022635,2513856,12851732,72825966,7994125,0,"174,721,559"
경남,5111954,24562611,2386560,2841092,979475,217233,1276242,7882158,12079352,6434406,7572489,4516262,2907536,8284485,10209265,80122175,0,"177,383,295"
제주,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5562352,"5,562,352"
세종,767462,394605,63431,345958,80657,293643,360545,125725,1950065,991734,1777561,1551105,308056,1137280,511881,302540,0,"10,962,248"
