출발지/목적지,,,,,,기간: (2017~2017),,,,,,,,단위(톤/년),,,,
,서울,부산,대구,인천,광주,세종,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,total
서울,"30,315,018","1,057,430","251,774","1,803,075","211,364","186,684","316,984","838,816","19,633,217","879,145","1,197,973","2,267,310","308,049","859,229","1,501,292","834,796",0,"62,462,156"
부산,"2,400,664","43,130,271","1,860,494","3,250,593","770,930","768,123","675,585","11,543,814","17,364,949","868,978","3,706,259","3,978,355","1,536,580","2,167,007",11474245,22746454,0,"128,243,301"
대구,818040,2920898,10854387,459625,261359,568013,304753,1805189,2695185,609085,1097206,1677164,686216,1033417,9011020,3319384,0,"38,120,941"
인천,12706324,3086791,536236,93008751,375017,1457283,721154,2831536,67692655,3579785,3837210,8491682,1521318,5541158,4009203,2352788,0,"211,748,891"
광주,355411,2250729,202924,412278,6421663,127985,212587,975130,1666843,173846,435825,1105506,973952,9244052,921375,1265503,0,"26,745,609"
대전,160905,1314222,75799,215006,67079,273224,3155156,310778,895791,112132,655437,927100,215397,399483,568009,308669,0,"9,654,187"
울산,411840,15004224,585578,431645,143813,189826,137109,87595583,1951386,469148,624205,1376729,465370,2505344,6177254,4696052,0,"122,765,106"
경기,19820300,16649455,1355461,18111395,1186673,2906454,2215372,5733495,129317251,6303883,8918916,35086075,4912233,6591154,9638573,5970532,0,"274,717,222"
강원,2113177,1647177,727125,1494174,298273,1150751,536336,2480490,13036756,36429552,5404295,4811260,1356231,4986813,7042258,3303619,0,"86,818,287"
충북,1803774,3367326,1006303,1461730,483296,3608123,1600699,3372735,13854490,5598950,19292872,9437601,2111742,6185145,7000747,3630408,0,"83,815,941"
충남,2698826,5317095,862588,3165399,758387,3409569,2335204,3421705,22965471,2636617,5839226,87583623,4203149,6914898,5424757,3396519,0,"160,933,033"
전북,2196869,3060311,1101257,1398248,1981934,1430459,2113610,2558241,9960821,2147594,4026888,10354913,30845498,12836340,5961925,5178525,0,"97,153,433"
전남,1677847,3775679,1050069,1119087,5037514,2380990,836000,5427858,10854994,2466509,3979839,7661416,7305695,137832575,7325402,20768946,0,"219,500,420"
경북,1818421,16322702,4202188,1460299,668922,1111913,975643,10236528,8559468,3616800,4681447,5479562,2086598,7340392,69682898,8661732,0,"146,905,513"
경남,2275156,29179345,2428466,1059497,849700,811485,729971,10657897,7291505,1999725,2487590,4397670,2372787,11421165,11607858,67300283,0,"156,870,100"
제주,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8359497,"8,359,497"
세종,256686,470638,119032,266775,74564,5762718,441630,288182,2333589,546732,2547935,3221843,427484,1024514,966544,445328,0,"19,194,194"
